drug_a_ik14,drug_b_ik14,a_name,b_name,pair_id,n_faers_reports,faers_prr_max_strict,faers_ror95_lcl_max_strict,faers_pt_covered_strict,faers_best_pt_code_strict
KPYSYYIEGFHWSV,NZLPWFTXPYJYSS,Arbaclofen,Gadofosveset trisodium,KPYSYYIEGFHWSV::NZLPWFTXPYJYSS,0,,,,
LPQZKKCYTLCDGQ,PGBHMTALBVVCIT,Tazobactam,Framycetin,LPQZKKCYTLCDGQ::PGBHMTALBVVCIT,0,,,,
MHAJPDPJQMAIIY,ZPEIMTDSQAKGNT,Hydrogen peroxide,Chlorpromazine,MHAJPDPJQMAIIY::ZPEIMTDSQAKGNT,0,,,,
KPBZROQVTHLCDU,OYVAGSVQBOHSSS,Clevidipine,Bleomycin,KPBZROQVTHLCDU::OYVAGSVQBOHSSS,0,,,,
PFENFDGYVLAFBR,VTWKPILBIUBMDS,Tinoridine,Fluclorolone,PFENFDGYVLAFBR::VTWKPILBIUBMDS,0,,,,
NJMYODHXAKYRHW,PBJUNZJWGZTSKL,Flupentixol,Tiagabine,NJMYODHXAKYRHW::PBJUNZJWGZTSKL,0,,,,
HDOZVRUNCMBHFH,QDLHCMPXEPAAMD,Zotepine,Wortmannin,HDOZVRUNCMBHFH::QDLHCMPXEPAAMD,0,,,,
DCOPUUMXTXDBNB,YPHDIMUXXABSSO,Diclofenac,PF-00610355,DCOPUUMXTXDBNB::YPHDIMUXXABSSO,0,,,,
NDAUXUAQIAJITI,ZKIAIYBUSXZPLP,Albuterol,Brexpiprazole,NDAUXUAQIAJITI::ZKIAIYBUSXZPLP,7,,,,
FHXBMXJMKMWVRG,TZFNLOMSOLWIDK,Estradiol acetate,Carbidopa,FHXBMXJMKMWVRG::TZFNLOMSOLWIDK,0,,,,
BMCQMVFGOVHVNG,UMKFEPPTGMDVMI,Hydrocortisone butyrate,Trofosfamide,BMCQMVFGOVHVNG::UMKFEPPTGMDVMI,0,,,,
ADXGNEYLLLSOAR,CESYKOGBSMNBPD,Tasosartan,Methyclothiazide,ADXGNEYLLLSOAR::CESYKOGBSMNBPD,0,,,,
PUXBGTOOZJQSKH,UVSMNLNDYGZFPF,Carprofen,Pomalidomide,PUXBGTOOZJQSKH::UVSMNLNDYGZFPF,0,,,,
HEMJJKBWTPKOJG,WDLRUFUQRNWCPK,Gemfibrozil,Gadoteric acid,HEMJJKBWTPKOJG::WDLRUFUQRNWCPK,0,,,,
DKMFBWQBDIGMHM,LOUPRKONTZGTKE,Melperone,Quinidine,DKMFBWQBDIGMHM::LOUPRKONTZGTKE,1,,,,
GDSCFOSHSOWNDL,HNDXBGYRMHRUFN,Zolazepam,Nicomorphine,GDSCFOSHSOWNDL::HNDXBGYRMHRUFN,0,,,,
HTIQEAQVCYTUBX,WDENQIQQYWYTPO,Amlodipine,Acalabrutinib,HTIQEAQVCYTUBX::WDENQIQQYWYTPO,41,,,,
CFOYWRHIYXMDOT,NSMXQKNUPPXBRG,Carbimazole,Lisofylline,CFOYWRHIYXMDOT::NSMXQKNUPPXBRG,0,,,,
ALAXZYHFVBSJKZ,RXOIEVSUURELPG,Endralazine,Fenozolone,ALAXZYHFVBSJKZ::RXOIEVSUURELPG,0,,,,
FZSPJBYOKQPKCD,INJOMKTZOLKMBF,Alaproclate,Guanfacine,FZSPJBYOKQPKCD::INJOMKTZOLKMBF,0,,,,
AOMXMOCNKJTRQP,IUEWXNHSKRWHDY,Relugolix,Abrocitinib,AOMXMOCNKJTRQP::IUEWXNHSKRWHDY,0,,,,
AELCINSCMGFISI,XZKVIDLLLOUTSS,"(1R,2S)-2-Phenylcyclopropanaminium",Iprazochrome,AELCINSCMGFISI::XZKVIDLLLOUTSS,0,,,,
ODAIHABQVKJNIY,SVJMLYUFVDMUHP,Perindoprilat,Dexniguldipine,ODAIHABQVKJNIY::SVJMLYUFVDMUHP,0,,,,
MJFJKKXQDNNUJF,ZRJBHWIHUMBLCN,Metixene,Huperzine A,MJFJKKXQDNNUJF::ZRJBHWIHUMBLCN,0,,,,
VXMOONUMYLCFJD,XTTZERNUQAFMOF,Barnidipine,Lorcaserin,VXMOONUMYLCFJD::XTTZERNUQAFMOF,0,,,,
NCDNCNXCDXHOMX,WEAJZXNPAWBCOA,Ritonavir,Avanafil,NCDNCNXCDXHOMX::WEAJZXNPAWBCOA,0,,,,
GWWLWDURRGNSRS,OGAKLTJNUQRZJU,Melitracen,Diphenidol,GWWLWDURRGNSRS::OGAKLTJNUQRZJU,0,,,,
DAFOCGYVTAOKAJ,YNZFUWZUGRBMHL,Phenibut,Opipramol,DAFOCGYVTAOKAJ::YNZFUWZUGRBMHL,0,,,,
AAQOQKQBGPPFNS,QXAITBQSYVNQDR,Bretylium,Amitraz,AAQOQKQBGPPFNS::QXAITBQSYVNQDR,0,,,,
INJOMKTZOLKMBF,SMSRCGPDNDCXFR,Guanfacine,Cefbuperazone,INJOMKTZOLKMBF::SMSRCGPDNDCXFR,0,,,,
WEXRUCMBJFQVBZ,WHQCHUCQKNIQEC,Pentobarbital,Benzbromarone,WEXRUCMBJFQVBZ::WHQCHUCQKNIQEC,0,,,,
BYBLEWFAAKGYCD,XKLMZUWKNUAPSZ,Miconazole,Ranolazine,BYBLEWFAAKGYCD::XKLMZUWKNUAPSZ,3,,,,
WRGVLTAWMNZWGT,WSVOMANDJDYYEY,Taspoglutide,Prednylidene,WRGVLTAWMNZWGT::WSVOMANDJDYYEY,0,,,,
LLPOLZWFYMWNKH,VAIOZOCLKVMIMN,Hydrocodone,Eplivanserin,LLPOLZWFYMWNKH::VAIOZOCLKVMIMN,0,,,,
MOYGZHXDRJNJEP,PWNMXPDKBYZCOO,Buclizine,Prulifloxacin,MOYGZHXDRJNJEP::PWNMXPDKBYZCOO,0,,,,
GHOSNRCGJFBJIB,QYSPLQLAKJAUJT,Candesartan cilexetil,Piroxicam,GHOSNRCGJFBJIB::QYSPLQLAKJAUJT,48,,,,
AYEAMZDTWLXZIJ,SBDNJUWAMKYJOX,Dersalazine,Meclofenamic acid,AYEAMZDTWLXZIJ::SBDNJUWAMKYJOX,0,,,,
CVWXJKQAOSCOAB,NWIUTZDMDHAVTP,Quizartinib,Betaxolol,CVWXJKQAOSCOAB::NWIUTZDMDHAVTP,0,,,,
AIJTTZAVMXIJGM,MFFMDFFZMYYVKS,Grepafloxacin,Sitagliptin,AIJTTZAVMXIJGM::MFFMDFFZMYYVKS,0,,,,
OEXHQOGQTVQTAT,RMRJXGBAOAMLHD,Ipratropium,Buprenorphine,OEXHQOGQTVQTAT::RMRJXGBAOAMLHD,16,,,,
JCBQCKFFSPGEDY,NOSIYYJFMPDDSA,Quinupramine,Acepromazine,JCBQCKFFSPGEDY::NOSIYYJFMPDDSA,0,,,,
IEDVJHCEMCRBQM,IQUFSXIQAFPIMR,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium",Fenproporex,IEDVJHCEMCRBQM::IQUFSXIQAFPIMR,0,,,,
BTBHLEZXCOBLCY,PMXMIIMHBWHSKN,Finerenone,Paliperidone,BTBHLEZXCOBLCY::PMXMIIMHBWHSKN,0,,,,
VDTNNGKXZGSZIP,VHRSUDSXCMQTMA,Carbutamide,Methylprednisolone,VDTNNGKXZGSZIP::VHRSUDSXCMQTMA,0,,,,
BYPFEZZEUUWMEJ,NJDRXTDGYFKORP,Pentoxifylline,Garenoxacin,BYPFEZZEUUWMEJ::NJDRXTDGYFKORP,0,,,,
KANJSNBRCNMZMV,YWGDOWXRIALTES,Fondaparinux,Bepotastine,KANJSNBRCNMZMV::YWGDOWXRIALTES,0,,,,
LDMWSLGGVTVJPG,LJBBMCNHIUJBDU,Minaprine,Talopram,LDMWSLGGVTVJPG::LJBBMCNHIUJBDU,0,,,,
PNUZDKCDAWUEGK,QGJUIPDUBHWZPV,Sitafloxacin,"(1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",PNUZDKCDAWUEGK::QGJUIPDUBHWZPV,0,,,,
